id,fragrance,flowering_season,bloom_time,plant_type,primary_color
314,,,,Herb,White
315,,,,Herb,White
316,,,,Herb,Purple
317,,,,Shrub,Yellow
318,,,,Herb,Pink
319,,,,Herb,Green
320,,,,Herb,White
321,,,,Vine / Climber,Purple
322,,,,Vine / Climber,White
323,,,,Herb,Yellow
324,,,,Shrub,White
325,,,,Vine / Climber,Lavender
326,,,,Vine / Climber,Yellow
327,,,,Vine / Climber,White
328,,,,Shrub,Magenta
329,,,,Herb,Maroon
330,,,,Herb,Yellow
331,,,,Herb,Orange
332,,,,Herb,Lavender
333,,,,Tree,Orange
334,,,,Vine / Climber,Pink
335,,,,Vine / Climber,Pink
336,,,,Vine / Climber,Yellow
337,,,,Herb,White
338,,,,Shrub / Small Tree,Red
339,,,,Herb,Yellow
340,,,,Herb,Red
341,,,,Herb,White
342,,,,Herb,Yellow
343,,,,Herb,Rose
344,,,,Herb,Pink
345,,,,Herb,Yellow
346,,,,Herb,Yellow
347,,,,Herb,White
348,,,,Herb,White
349,,,,Herb,White
350,,,,Vine / Climber,Rose
351,,,,Vine / Climber,Magenta
352,,,,Vine / Climber,Magenta
353,,,,Vine / Climber,White
354,,,,Shrub,Lavender
355,,,,Herb,White
356,,,,Herb,Blue
357,,,,Herb,Orange
358,,,,Herb,Pink
359,,,,Herb,Magenta
360,,,,Herb,Magenta
361,,,,Herb,Pink
362,,,,Herb,Red
363,,,,Herb,Pink
364,,,,Vine / Climber,Red
365,,,,Herb,White
366,,,,Shrub / Small Tree,White
367,,,,Shrub / Small Tree,White
368,,,,Shrub,White
369,,,,Vine / Climber,Magenta
370,,,,Vine / Climber,Red
371,,,,Shrub,Red
372,,,,Vine / Climber,Orange
373,,,,Herb,Magenta
374,,,,Herb,Magenta
375,,,,Herb,Red
376,,,,Herb,Magenta
377,,,,Herb,Pink
378a,,,,Herb,Pink
378b,,,,Herb,Pink
379,,,,Herb,Lavender
380,,,,Herb,Purple
381,,,,Herb,Magenta
382,,,,Herb,Magenta
383,,,,Herb,Purple
384a,,,,Herb,Magenta
384b,,,,Herb,Purple
385,,,,Herb,Red
386,,,,Herb,Red
387,,,,Herb,White
388,,,,Herb,White
389,,,,Herb,Yellow
390,,,,Herb,White
391,,,,Herb,Orange
392,,,,Herb,Lavender
393,,,,Herb,Red
394,,,,Herb,White
395,,,,Tree,Orange
396,,,,Shrub / Small Tree,Yellow
397,,,,Herb,Golden Yellow
398,,,,Herb,Golden Yellow
399,,,,Herb,Golden Yellow
400,,,,Herb,Orange
401,,,,Herb,Orange
402,,,,Herb,Golden Yellow
403,,,,Shrub,Magenta
404,,,,Shrub,White
405,,,,Herb,Purple
406,,,,Herb,Maroon
407,,,,Herb,Maroon
408,,,,Shrub,White
409,,,,Herb,Lavender
410,,,,Herb,Red
411,,,,Herb,Red
412,,,,Herb,Green
413,,,,Herb,Yellow
414,,,,Herb,Maroon
415,,,,Herb,Red
416,,,,Herb,Red
417,,,,Tree,Orange
418,,,,Shrub,Lavender
419,,,,Vine / Climber,White
420,,,,Shrub / Small Tree,Golden Yellow
421,,,,Vine / Climber,Golden Yellow
422,,,,Shrub / Small Tree,White
423,,,,Herb,Magenta
424,,,,Shrub,Purple
425,,,,Herb,White
426,,,,Herb,Yellow
427,,,,Herb,Rose
428,,,,Herb,Yellow
429,,,,Herb,Magenta
430,,,,Herb,Red
431,,,,Herb,White
432a,,,,Herb,Orange
432b,,,,Herb,Yellow
433,,,,Herb,Rose
434,,,,Herb,Golden Yellow
435,,,,Herb,Orange
436,,,,Herb,Pink
437,,,,Herb,White
438,,,,Vine / Climber,Orange
439,,,,Tree,Golden Yellow
440,,,,Herb,Maroon
441,,,,Shrub,Orange
442,,,,Vine / Climber,Pink
443,,,,Herb,Green
444,,,,Herb,White
445,,,,Herb,Orange
446,,,,Herb,Orange
447,,,,Herb,Pink
448,,,,Herb,White
449,,,,Herb,Purple
450,,,,Tree,Yellow
451,,,,Small Tree,Yellow
452,,,,Small Tree,Yellow
453,,,,Shrub / Small Tree,Yellow
454,,,,Tree,Yellow
455,,,,Tree,Rose
456,,,,Shrub / Small Tree,Pink
457,,,,Shrub / Small Tree,White
458,,,,Shrub / Small Tree,Red
459,,,,Tree,Yellow
460,,,,Vine / Climber,Maroon
461,,,,Vine / Climber,Maroon
462,,,,Herb,Rose
463,,,,Herb,White
464,,,,Herb,Golden Yellow
465,,,,Herb,Golden Yellow
466,,,,Herb,Golden Yellow
